,Actual,Predicted
237,[4.   0.8  2.17],[4.053644   0.81421435 2.127915  ]
238,[3.2  3.2  0.77],[3.221318   3.245451   0.95002955]
239,[4.   2.4  2.17],[4.0441923 2.419186  2.2113693]
240,[0.8  4.   0.77],[0.78155315 4.0122223  0.7320819 ]
241,[0.8  2.4  0.77],[0.8046455 2.4338787 0.5882448]
242,[1.6  0.8  0.37],[1.6091945  0.7934144  0.45146292]
243,[4.   3.2  0.97],[4.053902  3.2343135 1.2437956]
244,[0.8  1.6  0.97],[0.79117465 1.6199603  0.88777715]
245,[4.   3.2  1.97],[4.016989 3.252273 2.205067]
246,[0.8  2.4  1.97],[0.7603259 2.3781443 1.9000529]
247,[2.4  2.4  1.17],[2.4098682 2.4131753 1.0694226]
248,[2.4  0.8  1.37],[2.3946745 0.798501  1.3073419]
249,[3.2  4.   0.77],[3.2094576 4.0418363 1.0058221]
250,[0.8  2.4  2.17],[0.79110956 2.4122534  2.1069942 ]
251,[3.2  2.4  0.97],[3.2060196 2.436849  0.9240695]
252,[4.   2.4  1.17],[3.9981213 2.4285078 1.1576579]
253,[1.6  3.2  0.77],[1.5562956  3.2213883  0.80014384]
254,[1.6  2.4  2.17],[1.6504679 2.3845086 2.249072 ]
255,[4.   1.6  0.17],[4.009034   1.6068783  0.11564289]
256,[4.   0.8  0.77],[4.000566  0.7912989 0.6477577]
257,[1.6  1.6  1.77],[1.6189831 1.6484499 1.77801  ]
258,[0.8  1.6  0.77],[0.8099575  1.6296494  0.95811486]
259,[0.8  0.8  0.77],[0.7887016  0.82527196 0.56406313]
260,[0.8  2.4  2.17],[0.74307287 2.408057   2.0827215 ]
261,[3.2  4.   0.17],[3.2123616  4.044703   0.30917782]
262,[0.8  0.8  1.17],[0.7832248  0.81984264 1.2444781 ]
263,[2.4  4.   1.37],[2.4281929 4.021707  1.4323347]
264,[3.2  0.8  1.97],[3.1775007 0.7652421 1.7795722]
265,[1.6  4.   2.17],[1.5927975 3.9956317 2.2571917]
266,[3.2  4.   1.37],[3.2247624 4.0560846 1.5992522]
267,[2.4  4.   0.17],[2.4108748  4.01165    0.19673601]
268,[3.2  0.8  1.37],[3.2142997  0.78468335 1.3974748 ]
269,[1.6  2.4  1.57],[1.5715566 2.421469  1.5899727]
270,[0.8  2.4  1.97],[0.7740326 2.391419  1.8835452]
271,[4.   2.4  1.17],[4.0407157 2.432107  1.1816998]
272,[3.2  3.2  0.97],[3.2274294 3.2228823 1.3476323]
273,[0.8  0.8  0.77],[0.80733466 0.83317494 0.6368548 ]
274,[4.   4.   1.77],[4.0584173 4.0496244 2.140831 ]
275,[4.   3.2  0.57],[4.0453105 3.214541  0.7663619]
276,[0.8  1.6  2.17],[0.8053291 1.6277964 2.134946 ]
277,[2.4  2.4  0.57],[2.4431617 2.3552287 0.7562022]
278,[3.2  3.2  0.97],[3.238475  3.250875  1.2397168]
279,[4.   3.2  1.17],[4.045805  3.2162137 1.4307209]
280,[0.8  0.8  0.37],[0.781366   0.8263963  0.23326327]
281,[2.4  2.4  1.57],[2.460046  2.3925261 1.1458367]
282,[3.2  1.6  0.57],[3.2104754 1.632154  0.5960987]
283,[1.6  4.   0.37],[1.598813  3.9960144 0.3274938]
284,[3.2  2.4  0.37],[3.1652057  2.3982737  0.18657766]
285,[4.   2.4  0.57],[4.0303116  2.3885014  0.48687053]
